,usage_dateID_zulu,usage_timeID_zulu,sunlight_duration_minutes,usage_kWh,passengers,atms
105,20190103,45959,856.2,1704.67,0.0,1.0
106,20190103,52959,856.2,1361.15,176.0,2.0
107,20190103,55959,856.2,1809.18,838.0,6.0
108,20190103,62959,856.2,1252.44,931.0,8.0
109,20190103,65959,856.2,1739.85,1354.0,9.0
110,20190103,72959,856.2,1335.02,914.0,10.0
111,20190103,75959,856.2,1638.46,878.0,9.0
112,20190103,82959,856.2,1323.17,796.0,9.0
113,20190103,85959,856.2,1697.34,858.0,9.0
114,20190103,92959,856.2,1375.77,1439.0,13.0
115,20190103,95959,856.2,1713.01,961.0,12.0
116,20190103,102959,856.2,1243.74,434.0,3.0
117,20190103,105959,856.2,1709.88,970.0,10.0
118,20190103,112959,856.2,1216.21,1006.0,9.0
119,20190103,115959,856.2,1657.27,725.0,7.0
120,20190103,122959,856.2,1338.15,2144.0,13.0
121,20190103,125959,856.2,1651.0,596.0,6.0
122,20190103,132959,856.2,1332.57,956.0,9.0
123,20190103,135959,856.2,1639.15,839.0,7.0
124,20190103,142959,856.2,1329.44,1847.0,13.0
125,20190103,145959,856.2,1584.11,758.0,8.0
126,20190103,152959,856.2,1219.35,1311.0,10.0
127,20190103,155959,856.2,1611.64,1443.0,12.0
128,20190103,162959,856.2,1252.44,1658.0,16.0
129,20190103,165959,856.2,1561.47,1361.0,12.0
130,20190103,172959,856.2,1112.75,1331.0,14.0
131,20190103,175959,856.2,1502.6,904.0,9.0
132,20190103,182959,856.2,1085.23,1322.0,13.0
133,20190103,185959,856.2,1449.99,1562.0,13.0
134,20190103,192959,856.2,1122.16,1285.0,12.0
135,20190103,195959,856.2,1609.55,1263.0,11.0
136,20190103,202959,856.2,1125.29,1009.0,10.0
137,20190103,205959,856.2,1498.77,524.0,4.0
138,20190103,212959,856.2,1063.28,588.0,8.0
139,20190103,215959,856.2,1372.99,795.0,12.0
140,20190103,222959,856.2,1002.65,569.0,6.0
141,20190103,225959,856.2,1112.75,238.0,2.0
142,20190103,232959,856.2,901.28,559.0,6.0
143,20190103,235959,856.2,628.48,0.0,0.0
144,20190104,2959,859.66,567.17,191.0,2.0
145,20190104,5959,859.66,532.68,0.0,1.0
146,20190104,12959,859.66,566.48,0.0,1.0
147,20190104,15959,859.66,557.77,0.0,2.0
148,20190104,22959,859.66,564.04,0.0,0.0
149,20190104,25959,859.66,864.35,0.0,1.0
150,20190104,32959,859.66,1045.16,0.0,0.0
151,20190104,35959,859.66,1177.2,0.0,0.0
152,20190104,42959,859.66,1269.18,0.0,0.0
153,20190104,45959,859.66,1477.52,0.0,1.0
154,20190104,52959,859.66,1029.48,0.0,1.0
155,20190104,55959,859.66,1379.27,1427.0,9.0
156,20190104,62959,859.66,1129.03,847.0,8.0
157,20190104,65959,859.66,1540.13,1422.0,12.0
158,20190104,72959,859.66,1104.45,678.0,8.0
159,20190104,75959,859.66,1475.18,1179.0,11.0
160,20190104,82959,859.66,1144.83,606.0,7.0
161,20190104,85959,859.66,1475.18,909.0,9.0
162,20190104,92959,859.66,1107.61,1106.0,11.0
163,20190104,95959,859.66,1354.06,540.0,8.0
164,20190104,102959,859.66,1030.02,848.0,8.0
165,20190104,105959,859.66,1258.92,1637.0,15.0
166,20190104,112959,859.66,1234.35,814.0,9.0
167,20190104,115959,859.66,1302.46,2110.0,15.0
168,20190104,122959,859.66,1144.83,1661.0,12.0
169,20190104,125959,859.66,1357.92,1590.0,11.0
170,20190104,132959,859.66,1079.88,1462.0,13.0
171,20190104,135959,859.66,1437.97,1332.0,10.0
172,20190104,142959,859.66,1141.67,1266.0,12.0
173,20190104,145959,859.66,1487.12,959.0,9.0
174,20190104,152959,859.66,1181.33,421.0,8.0
175,20190104,155959,859.66,1465.7,1436.0,10.0
176,20190104,162959,859.66,1113.93,592.0,6.0
177,20190104,165959,859.66,1527.49,1745.0,16.0
178,20190104,172959,859.66,1121.3,1858.0,13.0
